nameKo,nameEn,years,quoteEn,quoteKo
루트비히 판 베토벤,Ludwig van Beethoven,1770–1827,Music is a higher revelation than all wisdom and philosophy.,음악은 모든 지혜와 철학보다 더 높은 계시이다.
루트비히 판 베토벤,Ludwig van Beethoven,1770–1827,To play a wrong note is insignificant; to play without passion is inexcusable.,틀린 음을 치는 것은 대수롭지 않다. 열정 없이 연주하는 것은 용서할 수 없다.
루트비히 판 베토벤,Ludwig van Beethoven,1770–1827,Music is the mediator between the spiritual and the sensual life.,음악은 영적인 삶과 감각적인 삶 사이의 중재자이다.
루트비히 판 베토벤,Ludwig van Beethoven,1770–1827,"Don't only practice your art, but force your way into its secrets.","예술을 연습하는 것에 그치지 말고, 그 비밀 속으로 파고들어라."
루트비히 판 베토벤,Ludwig van Beethoven,1770–1827,"Music should strike fire from the heart of man, and bring tears from the eyes of woman.","음악은 남자의 마음에서 불을 일으키고, 여자의 눈에서 눈물을 흘리게 해야 한다."
볼프강 아마데우스 모차르트,Wolfgang Amadeus Mozart,1756–1791,"The music is not in the notes, but in the silence between.","음악은 음표 안에 있는 것이 아니라, 그 사이의 침묵 안에 있다."
볼프강 아마데우스 모차르트,Wolfgang Amadeus Mozart,1756–1791,"Neither a lofty degree of intelligence nor imagination nor both together go to the making of genius. Love, love, love, that is the soul of genius.","높은 지성도, 상상력도, 둘의 조합도 천재를 만들지 않는다. 사랑, 사랑, 사랑, 그것이 천재의 영혼이다."
볼프강 아마데우스 모차르트,Wolfgang Amadeus Mozart,1756–1791,I pay no attention whatever to anybody's praise or blame. I simply follow my own feelings.,나는 누구의 칭찬이나 비난에도 전혀 신경 쓰지 않는다. 나는 단지 내 감정을 따를 뿐이다.
볼프강 아마데우스 모차르트,Wolfgang Amadeus Mozart,1756–1791,"When I am traveling in a carriage, or walking after a good meal, or during the night when I cannot sleep; it is on such occasions that ideas flow best and most abundantly.","마차를 타고 여행할 때, 좋은 식사 후 산책할 때, 잠들지 못하는 밤에, 바로 그런 순간에 아이디어가 가장 잘 흐른다."
요한 제바스티안 바흐,Johann Sebastian Bach,1685–1750,The aim and final end of all music should be none other than the glory of God and the refreshment of the soul.,모든 음악의 목적과 최종 목표는 오직 신의 영광과 영혼의 회복이어야 한다.
요한 제바스티안 바흐,Johann Sebastian Bach,1685–1750,I was obliged to be industrious. Whoever is equally industrious will succeed equally well.,나는 부지런해야만 했다. 똑같이 부지런한 사람은 똑같이 성공할 것이다.
요한 제바스티안 바흐,Johann Sebastian Bach,1685–1750,It's easy to play any musical instrument: all you have to do is touch the right key at the right time and the instrument will play itself.,악기 연주는 쉽다. 적절한 시간에 적절한 건반을 누르기만 하면 악기가 알아서 연주한다. (아이러니한 유머)
프레데리크 쇼팽,Frédéric Chopin,1810–1849,"Simplicity is the final achievement. After one has played a vast quantity of notes and more notes, it is simplicity that emerges as the crowning reward of art.","단순함은 최종적인 성취이다. 수많은 음표들을 연주한 후에, 예술의 최고 보상으로 단순함이 나타난다."
프레데리크 쇼팽,Frédéric Chopin,1810–1849,"Bach is like an astronomer who, with the help of ciphers, finds the most wonderful stars.",바흐는 암호의 도움으로 가장 경이로운 별들을 찾아내는 천문학자와 같다.
프레데리크 쇼팽,Frédéric Chopin,1810–1849,"I wish I could throw off the thoughts which poison my happiness, but I take a kind of pleasure in indulging them.","행복을 독살하는 생각들을 떨쳐내고 싶지만, 나는 그것에 탐닉하는 것에서 일종의 즐거움을 느낀다."
표트르 일리치 차이콥스키,Pyotr Ilyich Tchaikovsky,1840–1893,Inspiration is a guest that does not willingly visit the lazy.,영감은 게으른 자를 기꺼이 찾아오지 않는 손님이다.
표트르 일리치 차이콥스키,Pyotr Ilyich Tchaikovsky,1840–1893,"Where the heart does not enter, there can be no music.",마음이 들어가지 않는 곳에는 음악이 있을 수 없다.
표트르 일리치 차이콥스키,Pyotr Ilyich Tchaikovsky,1840–1893,I sit down to the piano regularly at nine o'clock in the morning and Mesdames les Muses have learned to be on time for that rendezvous.,나는 매일 아침 9시에 피아노 앞에 앉는다. 뮤즈 여신들도 그 약속 시간에 맞춰 오는 법을 배웠다.
클로드 드뷔시,Claude Debussy,1862–1918,Music is the silence between the notes.,음악은 음표 사이의 침묵이다.
클로드 드뷔시,Claude Debussy,1862–1918,Works of art make rules; rules do not make works of art.,예술 작품이 규칙을 만든다. 규칙이 예술 작품을 만드는 것이 아니다.
클로드 드뷔시,Claude Debussy,1862–1918,Music is the arithmetic of sounds as optics is the geometry of light.,"음악은 소리의 산술이고, 광학은 빛의 기하학이다."
클로드 드뷔시,Claude Debussy,1862–1918,People come to music to seek oblivion.,사람들은 망각을 찾아 음악으로 온다.
프란츠 리스트,Franz Liszt,1811–1886,Music embodies feeling without forcing it to contend and combine with thought.,음악은 감정을 생각과 싸우거나 결합하도록 강요하지 않고 구현한다.
프란츠 리스트,Franz Liszt,1811–1886,Beware of missing chances; otherwise it may be altogether too late someday.,기회를 놓치지 않도록 조심하라. 그렇지 않으면 언젠가 완전히 너무 늦을 수 있다.
프란츠 리스트,Franz Liszt,1811–1886,"Life is only a long and bitter suicide, and faith alone can transform this suicide into a sacrifice.","삶은 길고 쓰라린 자살일 뿐이며, 오직 믿음만이 이 자살을 희생으로 변화시킬 수 있다."
요하네스 브람스,Johannes Brahms,1833–1897,"Without craftsmanship, inspiration is a mere reed shaken in the wind.","장인정신이 없으면, 영감은 바람에 흔들리는 갈대에 불과하다."
요하네스 브람스,Johannes Brahms,1833–1897,"It is not hard to compose, but it is wonderfully hard to let the superfluous notes fall under the table.",작곡하는 것은 어렵지 않다. 불필요한 음표를 테이블 아래로 떨어뜨리는 것이 놀랍도록 어렵다.
안토닌 드보르자크,Antonín Dvořák,1841–1904,I have composed too much.,나는 너무 많이 작곡했다. (말년의 자조적 발언)
안토닌 드보르자크,Antonín Dvořák,1841–1904,In the Negro melodies of America I discover all that is needed for a great and noble school of music.,미국의 흑인 선율에서 나는 위대하고 고귀한 음악 학파에 필요한 모든 것을 발견한다.
리하르트 바그너,Richard Wagner,1813–1883,I write music with an exclamation point!,나는 느낌표로 음악을 쓴다!
리하르트 바그너,Richard Wagner,1813–1883,Imagination creates reality.,상상력이 현실을 창조한다.
리하르트 바그너,Richard Wagner,1813–1883,Joy is not in things; it is in us.,기쁨은 사물 안에 있지 않다. 그것은 우리 안에 있다.
구스타프 말러,Gustav Mahler,1860–1911,A symphony must be like the world. It must contain everything.,교향곡은 세상과 같아야 한다. 모든 것을 담아야 한다.
구스타프 말러,Gustav Mahler,1860–1911,"If a composer could say what he had to say in words, he would not bother trying to say it in music.","작곡가가 말로 할 말을 할 수 있다면, 음악으로 말하려 애쓰지 않을 것이다."
구스타프 말러,Gustav Mahler,1860–1911,Don't bother looking at the view—I have already composed it.,경치를 보느라 시간 낭비하지 마라—나는 이미 그것을 작곡했다.
세르게이 라흐마니노프,Sergei Rachmaninoff,1873–1943,"Music is enough for a lifetime, but a lifetime is not enough for music.","음악은 평생을 위해 충분하지만, 평생은 음악을 위해 충분하지 않다."
세르게이 라흐마니노프,Sergei Rachmaninoff,1873–1943,I feel like a ghost wandering in a world grown alien.,나는 낯설어진 세상을 떠도는 유령 같은 기분이다.
이고르 스트라빈스키,Igor Stravinsky,1882–1971,"Lesser artists borrow, great artists steal.","작은 예술가는 빌리고, 위대한 예술가는 훔친다."
이고르 스트라빈스키,Igor Stravinsky,1882–1971,"Music is, by its very nature, essentially powerless to express anything at all.",음악은 본질적으로 아무것도 표현할 수 없다. (도발적인 발언)
이고르 스트라빈스키,Igor Stravinsky,1882–1971,"I haven't understood a bar of music in my life, but I have felt it.","나는 평생 한 마디의 음악도 이해하지 못했지만, 느꼈다."
세르게이 프로코피예프,Sergei Prokofiev,1891–1953,"In my view, the composer, just like the poet, the sculptor or the painter, is in duty bound to serve man, the people.","내 관점에서 작곡가는 시인, 조각가, 화가처럼 인간과 민중을 섬길 의무가 있다."
세르게이 프로코피예프,Sergei Prokofiev,1891–1953,I abhor imitation. I abhor hackneyed devices.,나는 모방을 혐오한다. 진부한 기법을 혐오한다.
엑토르 베를리오즈,Hector Berlioz,1803–1869,"Time is a great teacher, but unfortunately it kills all its pupils.","시간은 위대한 스승이지만, 불행히도 모든 제자를 죽인다."
엑토르 베를리오즈,Hector Berlioz,1803–1869,Every composer knows the anguish and despair occasioned by forgetting ideas which one had no time to write down.,모든 작곡가는 적을 시간이 없어서 잊어버린 아이디어로 인한 고뇌와 절망을 안다.
로베르트 슈만,Robert Schumann,1810–1856,To send light into the darkness of men's hearts—such is the duty of the artist.,사람들의 마음의 어둠 속에 빛을 보내는 것—그것이 예술가의 의무이다.
로베르트 슈만,Robert Schumann,1810–1856,My music is best understood by children and animals.,내 음악은 아이들과 동물들이 가장 잘 이해한다.
조르주 비제,Georges Bizet,1838–1875,"As a musician I tell you that if you were to suppress adultery, fanaticism, crime, evil, the supernatural, there would no longer be the means for writing one note.","음악가로서 말하건대, 간통, 광신, 범죄, 악, 초자연을 억압한다면 음표 하나도 쓸 수 없게 될 것이다."
조제프 하이든,Joseph Haydn,1732–1809,"There was no one near to confuse me, so I was forced to become original.","나를 혼란스럽게 할 사람이 주변에 없었기에, 나는 독창적이 될 수밖에 없었다."
조제프 하이든,Joseph Haydn,1732–1809,Young people can learn from my example that something can come from nothing.,젊은이들은 내 예에서 무에서도 무언가가 나올 수 있다는 것을 배울 수 있다.
페릭스 멘델스존,Felix Mendelssohn,1809–1847,"Music cannot be expressed in words, not because it is vague but because it is more precise than words.",음악은 말로 표현할 수 없다. 모호해서가 아니라 말보다 더 정확하기 때문이다.
지아코모 푸치니,Giacomo Puccini,1858–1924,"Inspiration is an awakening, a quickening of all man's faculties, and it is manifested in all high artistic achievements.","영감은 각성이고, 인간의 모든 능력의 촉진이며, 모든 높은 예술적 성취에서 드러난다."
루이 암스트롱,Louis Armstrong,1901–1971,What we play is life.,우리가 연주하는 것은 삶이다.
루이 암스트롱,Louis Armstrong,1901–1971,"If you have to ask what jazz is, you'll never know.","재즈가 뭔지 물어봐야 한다면, 당신은 절대 모를 것이다."
루이 암스트롱,Louis Armstrong,1901–1971,Musicians don't retire; they stop when there's no more music in them.,음악가는 은퇴하지 않는다. 그들 안에 더 이상 음악이 없을 때 멈출 뿐이다.
듀크 엘링턴,Duke Ellington,1899–1974,"There are two kinds of music. Good music, and the other kind.","음악에는 두 종류가 있다. 좋은 음악, 그리고 나머지."
듀크 엘링턴,Duke Ellington,1899–1974,A problem is a chance for you to do your best.,문제는 당신이 최선을 다할 기회이다.
듀크 엘링턴,Duke Ellington,1899–1974,It don't mean a thing if it ain't got that swing.,스윙이 없으면 아무 의미도 없다.
마일스 데이비스,Miles Davis,1926–1991,Do not fear mistakes. There are none.,실수를 두려워하지 마라. 실수란 없다.
마일스 데이비스,Miles Davis,1926–1991,"If you understood everything I said, you'd be me.","내가 한 말을 다 이해했다면, 당신은 나일 것이다."
마일스 데이비스,Miles Davis,1926–1991,I'm always thinking about creating. My future starts when I wake up every morning.,나는 항상 창작에 대해 생각한다. 내 미래는 매일 아침 일어날 때 시작된다.
엘라 피츠제럴드,Ella Fitzgerald,1917–1996,The only thing better than singing is more singing.,노래하는 것보다 좋은 것은 더 많이 노래하는 것뿐이다.
엘라 피츠제럴드,Ella Fitzgerald,1917–1996,It isn't where you came from; it's where you're going that counts.,어디서 왔는지가 아니라 어디로 가는지가 중요하다.
빌리 홀리데이,Billie Holiday,1915–1959,"If I'm going to sing like someone else, then I don't need to sing at all.","누군가처럼 노래할 거라면, 전혀 노래할 필요가 없다."
빌리 홀리데이,Billie Holiday,1915–1959,Singing songs like 'The Man I Love' or 'Porgy' is no more work than sitting down and eating Chinese roast duck.,'내가 사랑하는 남자'나 '포기' 같은 노래를 부르는 건 앉아서 중국식 오리구이를 먹는 것보다 힘들지 않다.
프랭크 시나트라,Frank Sinatra,1915–1998,The best revenge is massive success.,최고의 복수는 엄청난 성공이다.
프랭크 시나트라,Frank Sinatra,1915–1998,"You only go around once, but if you play your cards right, once is enough.","인생은 한 번뿐이지만, 카드를 잘 치면 한 번으로 충분하다."
프랭크 시나트라,Frank Sinatra,1915–1998,"Alcohol may be man's worst enemy, but the Bible says love your enemy.","술은 인간의 최악의 적일 수 있지만, 성경은 적을 사랑하라고 한다. (유머)"
냇 킹 콜,Nat King Cole,1919–1965,The best thing to do is keep believing in yourself and keep working hard.,가장 좋은 것은 자신을 계속 믿고 열심히 노력하는 것이다.
존 레논,John Lennon,1940–1980,Life is what happens when you're busy making other plans.,인생은 다른 계획을 세우느라 바쁠 때 일어나는 것이다.
존 레논,John Lennon,1940–1980,A dream you dream alone is only a dream. A dream you dream together is reality.,혼자 꾸는 꿈은 그저 꿈일 뿐이다. 함께 꾸는 꿈은 현실이 된다.
존 레논,John Lennon,1940–1980,"You may say I'm a dreamer, but I'm not the only one.","당신은 내가 몽상가라고 말할 수 있지만, 나만 그런 것은 아니다."
존 레논,John Lennon,1940–1980,Time you enjoy wasting was not wasted.,즐기며 낭비한 시간은 낭비한 시간이 아니다.
폴 매카트니,Paul McCartney,1942 ~,"And in the end, the love you take is equal to the love you make.","결국, 당신이 받는 사랑은 당신이 주는 사랑과 같다."
폴 매카트니,Paul McCartney,1942 ~,I used to think anyone doing anything weird was weird. Now I know that it is the people that call others weird that are weird.,예전에는 이상한 일을 하는 사람은 이상하다고 생각했다. 이제 남을 이상하다고 부르는 사람이 이상한 것임을 안다.
조지 해리슨,George Harrison,1943–2001,It's all in the mind.,모든 것은 마음속에 있다.
조지 해리슨,George Harrison,1943–2001,"With every mistake, we must surely be learning.",모든 실수에서 우리는 분명히 배우고 있다.
밥 딜런,Bob Dylan,1941 ~,"A man is a success if he gets up in the morning and gets to bed at night, and in between he does what he wants to do.","아침에 일어나 밤에 잠들고, 그 사이에 하고 싶은 일을 하면 그 사람은 성공한 것이다."
밥 딜런,Bob Dylan,1941 ~,He not busy being born is busy dying.,태어나느라 바쁘지 않은 자는 죽어가느라 바쁜 것이다.
밥 딜런,Bob Dylan,1941 ~,The times they are a-changin'.,시대는 변하고 있다.
밥 딜런,Bob Dylan,1941 ~,"I define nothing. Not beauty, not patriotism. I take each thing as it is, without prior rules about what it should be.","나는 아무것도 정의하지 않는다. 아름다움도, 애국심도. 나는 각각의 것을 그것이 어떠해야 한다는 사전 규칙 없이 있는 그대로 받아들인다."
지미 헨드릭스,Jimi Hendrix,1942–1970,"Music doesn't lie. If there is something to be changed in this world, then it can only happen through music.","음악은 거짓말하지 않는다. 이 세상에 바꿔야 할 것이 있다면, 그것은 오직 음악을 통해서만 일어날 수 있다."
지미 헨드릭스,Jimi Hendrix,1942–1970,"Knowledge speaks, but wisdom listens.","지식은 말하지만, 지혜는 듣는다."
